# Analisis de trayectoria
# Olla-DFT (entonces QEkit 0.12.0) — generado 2026-08-29 01:51 UTC
# comando: olla-dft md md.out -o . --skip 50 --no-plot
# parámetros: pasos = 250; dt_fs = 0.9676; T_media_K = 897.5
#    frecuencia(cm-1)          VDOS
   2551.027599       2.219292
   2585.500945       2.190027
   2619.974291       2.161634
   2654.447636       2.133711
   2688.920982       2.105653
   2723.394328       2.077887
   2757.867674       2.051802
   2792.341020       2.027446
   2826.814366       2.002930
   2861.287712       1.977285
   2895.761058       1.952076
   2930.234404       1.928807
   2964.707750       1.906533
   2999.181096       1.883767
   3033.654442       1.861088
   3068.127788       1.839867
   3102.601134       1.819600
   3137.074479       1.798655
   3171.547825       1.777022
   3206.021171       1.756433
   3240.494517       1.737997
   3274.967863       1.721156
   3309.441209       1.704785
   3343.914555       1.688150
   3378.387901       1.670967
   3412.861247       1.653526
   3447.334593       1.636651
   3481.807939       1.620806
   3516.281285       1.605497
   3550.754631       1.590100
   3585.227976       1.574790
   3619.701322       1.560011
   3654.174668       1.545594
   3688.648014       1.531184
   3723.121360       1.517042
   3757.594706       1.503583
   3792.068052       1.490454
   3826.541398       1.476916
   3861.014744       1.462970
   3895.488090       1.449425
   3929.961436       1.436942
   3964.434782       1.425490
   3998.908128       1.414600
   4033.381474       1.403695
   4067.854819       1.392330
   4102.328165       1.380530
   4136.801511       1.368806
   4171.274857       1.357617
   4205.748203       1.347014
   4240.221549       1.336909
   4274.694895       1.327247
   4309.168241       1.317656
   4343.641587       1.307462
   4378.114933       1.296531
   4412.588279       1.285678
   4447.061625       1.275798
   4481.534971       1.266866
   4516.008317       1.258198
   4550.481662       1.249363
   4584.955008       1.240382
   4619.428354       1.231333
   4653.901700       1.222275
   4688.375046       1.213426
   4722.848392       1.205013
   4757.321738       1.197035
   4791.795084       1.189381
   4826.268430       1.181964
   4860.741776       1.174514
   4895.215122       1.166590
   4929.688468       1.158163
   4964.161814       1.149863
   4998.635160       1.142236
   5033.108505       1.135013
   5067.581851       1.127551
   5102.055197       1.119804
   5136.528543       1.112365
   5171.001889       1.105624
   5205.475235       1.099352
   5239.948581       1.093115
   5274.421927       1.086712
   5308.895273       1.080147
   5343.368619       1.073484
   5377.841965       1.066835
   5412.315311       1.060342
   5446.788657       1.054100
   5481.262003       1.048156
   5515.735348       1.042484
   5550.208694       1.036883
   5584.682040       1.031059
   5619.155386       1.024964
   5653.628732       1.018899
   5688.102078       1.013135
   5722.575424       1.007579
   5757.048770       1.001996
   5791.522116       0.996389
   5825.995462       0.990920
   5860.468808       0.985618
   5894.942154       0.980399
   5929.415500       0.975272
   5963.888846       0.970276
   5998.362191       0.965312
   6032.835537       0.960254
   6067.308883       0.955163
   6101.782229       0.950195
   6136.255575       0.945356
   6170.728921       0.940539
   6205.202267       0.935750
   6239.675613       0.931103
   6274.148959       0.926636
   6308.622305       0.922286
   6343.095651       0.917987
   6377.568997       0.913669
   6412.042343       0.909231
   6446.515689       0.904680
   6480.989034       0.900215
   6515.462380       0.896004
   6549.935726       0.891957
   6584.409072       0.887874
   6618.882418       0.883727
   6653.355764       0.879628
   6687.829110       0.875589
   6722.302456       0.871545
   6756.775802       0.867535
   6791.249148       0.863671
   6825.722494       0.859941
   6860.195840       0.856221
   6894.669186       0.852469
   6929.142532       0.848755
   6963.615877       0.845115
   6998.089223       0.841530
   7032.562569       0.838009
   7067.035915       0.834543
   7101.509261       0.831021
   7135.982607       0.827357
   7170.455953       0.823679
   7204.929299       0.820218
   7239.402645       0.817010
   7273.875991       0.813867
   7308.349337       0.810650
   7342.822683       0.807392
   7377.296029       0.804132
   7411.769374       0.800828
   7446.242720       0.797503
   7480.716066       0.794313
   7515.189412       0.791363
   7549.662758       0.788561
   7584.136104       0.785722
   7618.609450       0.782783
   7653.082796       0.779827
   7687.556142       0.776950
   7722.029488       0.774156
   7756.502834       0.771364
   7790.976180       0.768496
   7825.449526       0.765567
   7859.922872       0.762680
   7894.396217       0.759914
   7928.869563       0.757244
   7963.342909       0.754613
   7997.816255       0.752012
   8032.289601       0.749424
   8066.762947       0.746744
   8101.236293       0.743881
   8135.709639       0.740960
   8170.182985       0.738267
   8204.656331       0.735956
   8239.129677       0.733865
   8273.603023       0.731699
   8308.076369       0.729321
   8342.549715       0.726822
   8377.023060       0.724354
   8411.496406       0.721971
   8445.969752       0.719650
   8480.443098       0.717383
   8514.916444       0.715198
   8549.389790       0.713066
   8583.863136       0.710860
   8618.336482       0.708477
   8652.809828       0.705995
   8687.283174       0.703618
   8721.756520       0.701430
   8756.229866       0.699300
   8790.703212       0.697067
   8825.176558       0.694762
   8859.649903       0.692560
   8894.123249       0.690557
   8928.596595       0.688685
   8963.069941       0.686822
   8997.543287       0.684894
   9032.016633       0.682895
   9066.489979       0.680859
   9100.963325       0.678838
   9135.436671       0.676845
   9169.910017       0.674840
   9204.383363       0.672808
   9238.856709       0.670830
   9273.330055       0.668991
   9307.803401       0.667254
   9342.276746       0.665491
   9376.750092       0.663634
   9411.223438       0.661743
   9445.696784       0.659894
   9480.170130       0.658094
   9514.643476       0.656310
   9549.116822       0.654555
   9583.590168       0.652879
   9618.063514       0.651295
   9652.536860       0.649738
   9687.010206       0.648106
   9721.483552       0.646372
   9755.956898       0.644629
   9790.430244       0.642989
   9824.903589       0.641411
   9859.376935       0.639726
   9893.850281       0.637866
   9928.323627       0.635999
   9962.796973       0.634345
   9997.270319       0.632917
  10031.743665       0.631544
  10066.217011       0.630100
  10100.690357       0.628609
  10135.163703       0.627120
  10169.637049       0.625606
  10204.110395       0.624049
  10238.583741       0.622522
  10273.057087       0.621120
  10307.530432       0.619835
  10342.003778       0.618556
  10376.477124       0.617196
  10410.950470       0.615768
  10445.423816       0.614355
  10479.897162       0.613001
  10514.370508       0.611657
  10548.843854       0.610240
  10583.317200       0.608754
  10617.790546       0.607304
  10652.263892       0.605962
  10686.737238       0.604673
  10721.210584       0.603349
  10755.683929       0.602006
  10790.157275       0.600739
  10824.630621       0.599563
  10859.103967       0.598376
  10893.577313       0.597121
  10928.050659       0.595876
  10962.524005       0.594746
  10996.997351       0.593707
  11031.470697       0.592632
  11065.944043       0.591446
  11100.417389       0.590202
  11134.890735       0.589006
  11169.364081       0.587890
  11203.837427       0.586797
  11238.310772       0.585663
  11272.784118       0.584499
  11307.257464       0.583356
  11341.730810       0.582238
  11376.204156       0.581080
  11410.677502       0.579862
  11445.150848       0.578672
  11479.624194       0.577615
  11514.097540       0.576668
  11548.570886       0.575710
  11583.044232       0.574675
  11617.517578       0.573630
  11651.990924       0.572670
  11686.464270       0.571790
  11720.937615       0.570901
  11755.410961       0.569938
  11789.884307       0.568908
  11824.357653       0.567863
  11858.830999       0.566847
  11893.304345       0.565873
  11927.777691       0.564930
  11962.251037       0.564013
  11996.724383       0.563123
  12031.197729       0.562240
  12065.671075       0.561326
  12100.144421       0.560366
  12134.617767       0.559412
  12169.091113       0.558515
  12203.564458       0.557654
  12238.037804       0.556772
  12272.511150       0.555876
  12306.984496       0.555031
  12341.457842       0.554263
  12375.931188       0.553507
  12410.404534       0.552705
  12444.877880       0.551886
  12479.351226       0.551111
  12513.824572       0.550371
  12548.297918       0.549610
  12582.771264       0.548811
  12617.244610       0.548020
  12651.717956       0.547275
  12686.191301       0.546555
  12720.664647       0.545813
  12755.137993       0.545039
  12789.611339       0.544268
  12824.084685       0.543526
  12858.558031       0.542795
  12893.031377       0.542030
  12927.504723       0.541222
  12961.978069       0.540434
  12996.451415       0.539739
  13030.924761       0.539132
  13065.398107       0.538528
  13099.871453       0.537872
  13134.344799       0.537208
  13168.818144       0.536605
  13203.291490       0.536050
  13237.764836       0.535463
  13272.238182       0.534809
  13306.711528       0.534146
  13341.184874       0.533536
  13375.658220       0.532959
  13410.131566       0.532342
  13444.604912       0.531676
  13479.078258       0.531029
  13513.551604       0.530443
  13548.024950       0.529868
  13582.498296       0.529225
  13616.971642       0.528527
  13651.444987       0.527869
  13685.918333       0.527310
  13720.391679       0.526799
  13754.865025       0.526256
  13789.338371       0.525685
  13823.811717       0.525153
  13858.285063       0.524677
  13892.758409       0.524200
  13927.231755       0.523684
  13961.705101       0.523175
  13996.178447       0.522728
  14030.651793       0.522321
  14065.125139       0.521879
  14099.598485       0.521371
  14134.071830       0.520840
  14168.545176       0.520341
  14203.018522       0.519880
  14237.491868       0.519429
  14271.965214       0.518980
  14306.438560       0.518546
  14340.911906       0.518120
  14375.385252       0.517664
  14409.858598       0.517152
  14444.331944       0.516615
  14478.805290       0.516128
  14513.278636       0.515743
  14547.751982       0.515430
  14582.225327       0.515109
  14616.698673       0.514733
  14651.172019       0.514330
  14685.645365       0.513960
  14720.118711       0.513636
  14754.592057       0.513309
  14789.065403       0.512934
  14823.538749       0.512527
  14858.012095       0.512137
  14892.485441       0.511778
  14926.958787       0.511417
  14961.432133       0.511036
  14995.905479       0.510660
  15030.378825       0.510318
  15064.852170       0.509999
  15099.325516       0.509658
  15133.798862       0.509291
  15168.272208       0.508942
  15202.745554       0.508651
  15237.218900       0.508401
  15271.692246       0.508146
  15306.165592       0.507861
  15340.638938       0.507571
  15375.112284       0.507316
  15409.585630       0.507104
  15444.058976       0.506893
  15478.532322       0.506619
  15513.005668       0.506266
  15547.479013       0.505892
  15581.952359       0.505579
  15616.425705       0.505351
  15650.899051       0.505154
  15685.372397       0.504931
  15719.845743       0.504695
  15754.319089       0.504495
  15788.792435       0.504342
  15823.265781       0.504199
  15857.739127       0.504021
  15892.212473       0.503802
  15926.685819       0.503559
  15961.159165       0.503318
  15995.632511       0.503107
  16030.105856       0.502946
  16064.579202       0.502824
  16099.052548       0.502704
  16133.525894       0.502561
  16167.999240       0.502393
  16202.472586       0.502215
  16236.945932       0.502037
  16271.419278       0.501872
  16305.892624       0.501738
  16340.365970       0.501637
  16374.839316       0.501544
  16409.312662       0.501437
  16443.786008       0.501329
  16478.259354       0.501248
  16512.732699       0.501191
  16547.206045       0.501115
  16581.679391       0.500990
  16616.152737       0.500829
  16650.626083       0.500680
  16685.099429       0.500575
  16719.572775       0.500510
  16754.046121       0.500460
  16788.519467       0.500410
  16822.992813       0.500356
  16857.466159       0.500300
  16891.939505       0.500245
  16926.412851       0.500191
  16960.886197       0.500144
  16995.359542       0.500109
  17029.832888       0.500084
  17064.306234       0.500064
  17098.779580       0.500044
  17133.252926       0.500022
  17167.726272       0.500001
  17202.199618       0.499986
  17236.672964       0.499980
